Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ../data/cifar100/cifar-100-python.tar.gz
Extracting ../data/cifar100/cifar-100-python.tar.gz to ../data/cifar100
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  23, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.143, TAw acc= 63.4% | *
| Epoch  24, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.277, TAw acc= 61.8% |
| Epoch  25, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.077, TAw acc= 66.6% | *
| Epoch  26, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.163, TAw acc= 64.2% |
| Epoch  27, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.178, TAw acc= 64.5% |
| Epoch  28, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.074, TAw acc= 65.7% | *
| Epoch  29, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.065, TAw acc= 65.8% | *
| Epoch  30, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.283, TAw acc= 62.4% |
| Epoch  31, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.216, TAw acc= 63.7% |
| Epoch  32, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.285, TAw acc= 63.5% |
| Epoch  33, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.141, TAw acc= 64.6% |
| Epoch  34, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.124, TAw acc= 64.1% | lr=1.1e-02
| Epoch  35, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.052, TAw acc= 66.5% | *
| Epoch  36, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.071, TAw acc= 67.7% |
| Epoch  37, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.060, TAw acc= 66.0% |
| Epoch  38, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.038, TAw acc= 67.6% | *
| Epoch  39, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.060, TAw acc= 67.2% |
| Epoch  40, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.032, TAw acc= 67.6% | *
| Epoch  41, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.056, TAw acc= 67.6% |
| Epoch  42, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.050, TAw acc= 67.4% |
| Epoch  43, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.006, TAw acc= 68.7% | *
| Epoch  44, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.041, TAw acc= 67.7% |
| Epoch  45, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.041, TAw acc= 67.8% |
| Epoch  46, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.065, TAw acc= 66.6% |
| Epoch  47, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.077, TAw acc= 66.8% |
| Epoch  48, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.025, TAw acc= 68.2% | lr=3.7e-03
| Epoch  49, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.026, TAw acc= 68.0% |
| Epoch  50, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.033, TAw acc= 67.8% |
| Epoch  51, time=  4.2s | Train: skip eval | Valid: time=  0.4s loss=1.046, TAw acc= 67.9% |
| Epoch  52, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.020, TAw acc= 67.4% |
| Epoch  53, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.018, TAw acc= 67.8% | lr=1.2e-03
| Epoch  54, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.012, TAw acc= 68.5% |
| Epoch  55, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.026, TAw acc= 68.1% |
| Epoch  56, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.016, TAw acc= 68.1% |
| Epoch  57, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.015, TAw acc= 68.6% |
| Epoch  58, time=  4.2s | Train: skip eval | Valid: time=  0.4s loss=1.019, TAw acc= 68.6% | lr=4.1e-04
| Epoch  59, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.019, TAw acc= 68.6% |
| Epoch  60, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.005, TAw acc= 68.9% | *
| Epoch  61, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.002, TAw acc= 68.6% | *
| Epoch  62, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.018, TAw acc= 68.5% |
| Epoch  63, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.006, TAw acc= 68.6% |
| Epoch  64, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.028, TAw acc= 67.9% |
| Epoch  65, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.023, TAw acc= 68.4% |
